date,casos_total,fallecidos total,ccaa_text,cod_ccaa
22/03/2020,1744,74,Castilla y León,7
22/03/2020,4704,191,Cataluña,9
22/03/2020,5,0,Ceuta,18
22/03/2020,1604,69,C. Valenciana,10
22/03/2020,384,14,Extremadura,11
22/03/2020,915,12,Galicia,12
22/03/2020,9702,1021,Madrid,13
22/03/2020,25,0,Melilla,19
22/03/2020,296,1,Murcia,14
22/03/2020,794,14,Navarra,15
22/03/2020,2097,97,País Vasco,16
22/03/2020,654,18,La Rioja,17
22/03/2020,28572,1720,Total,0
23/03/2020,1961,58,Andalucía,1
23/03/2020,638,32,Aragón,2
23/03/2020,594,12,Asturias,3
23/03/2020,400,10,Baleares,4
23/03/2020,481,11,Canarias,5
23/03/2020,347,6,Cantabria,6
23/03/2020,2078,145,Castilla-La Mancha,8
23/03/2020,2055,102,Castilla y León,7
23/03/2020,5925,245,Cataluña,9
23/03/2020,6,0,Ceuta,18
23/03/2020,1901,94,C. Valenciana,10
23/03/2020,493,18,Extremadura,11
23/03/2020,1208,18,Galicia,12
23/03/2020,10575,1263,Madrid,13
23/03/2020,28,0,Melilla,19
23/03/2020,345,2,Murcia,14
23/03/2020,886,24,Navarra,15
23/03/2020,2421,120,País Vasco,16
23/03/2020,747,22,La Rioja,17
23/03/2020,33089,2182,Total,0
24/03/2020,2471,87,Andalucía,1
24/03/2020,758,37,Aragón,2
24/03/2020,662,22,Asturias,3
24/03/2020,478,10,Baleares,4
24/03/2020,557,16,Canarias,5
24/03/2020,425,9,Cantabria,6
24/03/2020,2465,216,Castilla-La Mancha,8
24/03/2020,2460,124,Castilla y León,7
24/03/2020,7864,282,Cataluña,9
24/03/2020,6,0,Ceuta,18
24/03/2020,2167,115,C. Valenciana,10
24/03/2020,636,26,Extremadura,11
24/03/2020,1415,20,Galicia,12
24/03/2020,12352,1535,Madrid,13
24/03/2020,28,0,Melilla,19
24/03/2020,385,3,Murcia,14
24/03/2020,1014,31,Navarra,15
24/03/2020,2728,133,País Vasco,16
24/03/2020,802,30,La Rioja,17
24/03/2020,39673,2696,Total,0
25/03/2020,3010,113,Andalucía,1
25/03/2020,907,40,Aragón,2
25/03/2020,779,25,Asturias,3
25/03/2020,562,13,Baleares,4
25/03/2020,657,21,Canarias,5
25/03/2020,510,14,Cantabria,6
25/03/2020,2780,263,Castilla-La Mancha,8
25/03/2020,2940,165,Castilla y León,7
25/03/2020,9937,516,Cataluña,9
25/03/2020,9,0,Ceuta,18
25/03/2020,2616,143,C. Valenciana,10
25/03/2020,742,39,Extremadura,11
25/03/2020,1653,27,Galicia,12
25/03/2020,14597,1825,Madrid,13
25/03/2020,38,0,Melilla,19
25/03/2020,477,5,Murcia,14
25/03/2020,1197,33,Navarra,15
25/03/2020,3271,155,País Vasco,16
25/03/2020,928,37,La Rioja,17
25/03/2020,47610,3434,Total,0
26/03/2020,3406,134,Andalucía,1
26/03/2020,1116,48,Aragón,2
26/03/2020,841,27,Asturias,3
26/03/2020,660,17,Baleares,4
26/03/2020,784,24,Canarias,5
26/03/2020,671,17,Cantabria,6
26/03/2020,3383,316,Castilla-La Mancha,8
26/03/2020,3488,206,Castilla y León,7
26/03/2020,11592,672,Cataluña,9
26/03/2020,10,0,Ceuta,18
26/03/2020,3200,167,C. Valenciana,10
26/03/2020,969,58,Extremadura,11
26/03/2020,1915,32,Galicia,12
26/03/2020,17166,2090,Madrid,13
26/03/2020,39,1,Melilla,19
26/03/2020,596,8,Murcia,14
26/03/2020,1411,49,Navarra,15
26/03/2020,3946,180,País Vasco,16
26/03/2020,995,43,La Rioja,17
26/03/2020,56188,4089,Total,0
27/03/2020,3793,144,Andalucía,1
27/03/2020,1338,58,Aragón,2
27/03/2020,900,29,Asturias,3
27/03/2020,755,22,Baleares,4
27/03/2020,878,27,Canarias,5
27/03/2020,810,21,Cantabria,6
27/03/2020,3934,367,Castilla-La Mancha,8
27/03/2020,4132,252,Castilla y León,7
27/03/2020,12940,880,Cataluña,9
27/03/2020,17,0,Ceuta,18
27/03/2020,3532,198,C. Valenciana,10
27/03/2020,1231,69,Extremadura,11
27/03/2020,2322,43,Galicia,12
27/03/2020,19243,2412,Madrid,13
27/03/2020,42,1,Melilla,19
27/03/2020,714,15,Murcia,14
27/03/2020,1641,58,Navarra,15
27/03/2020,4601,207,País Vasco,16
27/03/2020,1236,55,La Rioja,17
27/03/2020,64059,4858,Total,0
28/03/2020,4277,175,Andalucía,1
28/03/2020,1592,58,Aragón,2
28/03/2020,1004,33,Asturias,3
28/03/2020,862,26,Baleares,4
28/03/2020,1025,36,Canarias,5
28/03/2020,937,22,Cantabria,6
28/03/2020,4512,448,Castilla-La Mancha,8
28/03/2020,4791,321,Castilla y León,7
28/03/2020,14263,1070,Cataluña,9
28/03/2020,17,1,Ceuta,18
28/03/2020,4034,234,C. Valenciana,10
28/03/2020,1394,88,Extremadura,11
28/03/2020,2772,47,Galicia,12
28/03/2020,21520,2757,Madrid,13
28/03/2020,45,1,Melilla,19
28/03/2020,802,17,Murcia,14
28/03/2020,1829,70,Navarra,15
28/03/2020,5136,221,País Vasco,16
28/03/2020,1436,65,La Rioja,17
28/03/2020,72248,5690,Total,0
29/03/2020,4682,207,Andalucía,1
29/03/2020,1858,93,Aragón,2
29/03/2020,1088,41,Asturias,3
29/03/2020,958,29,Baleares,4
29/03/2020,1125,39,Canarias,5
29/03/2020,1023,26,Cantabria,6
29/03/2020,5246,539,Castilla-La Mancha,8
29/03/2020,5414,380,Castilla y León,7
29/03/2020,15026,1226,Cataluña,9
29/03/2020,21,1,Ceuta,18
29/03/2020,4784,267,C. Valenciana,10
29/03/2020,1456,100,Extremadura,11
29/03/2020,3139,60,Galicia,12
29/03/2020,22677,3082,Madrid,13
29/03/2020,48,1,Melilla,19
29/03/2020,872,20,Murcia,14
29/03/2020,2011,84,Navarra,15
29/03/2020,5740,265,País Vasco,16
29/03/2020,1629,68,La Rioja,17
29/03/2020,78797,6528,Total,0
30/03/2020,5405,236,Andalucía,1
30/03/2020,2078,106,Aragón,2
30/03/2020,1158,49,Asturias,3
30/03/2020,1000,37,Baleares,4
30/03/2020,1204,40,Canarias,5
30/03/2020,1100,27,Cantabria,6
30/03/2020,5858,622,Castilla-La Mancha,8
30/03/2020,5801,442,Castilla y León,7
30/03/2020,16157,1410,Cataluña,9
30/03/2020,25,1,Ceuta,18
30/03/2020,5110,310,C. Valenciana,10
30/03/2020,1560,106,Extremadura,11
30/03/2020,3723,66,Galicia,12
30/03/2020,24090,3392,Madrid,13
30/03/2020,51,1,Melilla,19
30/03/2020,939,25,Murcia,14
30/03/2020,2146,102,Navarra,15
30/03/2020,6057,297,País Vasco,16
30/03/2020,1733,71,La Rioja,17
30/03/2020,85195,7340,Total,0
31/03/2020,5818,248,Andalucía,1
31/03/2020,2272,138,Aragón,2
31/03/2020,1236,55,Asturias,3
